Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:01,  1.56it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:01<00:00,  1.59it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.34it/s]
{"update": 97, "examples_seen": 776, "supervised_tokens": 1627, "loss": 7.047723443065479e-06, "gradient_norm": 0.0003877678536809981, "learning_rate": 0.0001, "seconds": 3.1338948499999333, "elapsed_training_seconds": 301.0725084510002}
{"update": 98, "examples_seen": 784, "supervised_tokens": 1505, "loss": 1.1704770940923481e-05, "gradient_norm": 0.0002743832301348448, "learning_rate": 0.0001, "seconds": 3.2297528149999835, "elapsed_training_seconds": 304.3040791200001}
{"update": 99, "examples_seen": 792, "supervised_tokens": 1329, "loss": 1.4276727938522527e-05, "gradient_norm": 0.000563490204513073, "learning_rate": 0.0001, "seconds": 3.0704897220000475, "elapsed_training_seconds": 307.3760023870002}
{"update": 100, "examples_seen": 800, "supervised_tokens": 1355, "loss": 2.2337342670653015e-05, "gradient_norm": 0.0007210946059785783, "learning_rate": 0.0001, "seconds": 2.8786951800000224, "elapsed_training_seconds": 310.25631028500015}
{"update": 101, "examples_seen": 808, "supervised_tokens": 1461, "loss": 0.0014803727165144664, "gradient_norm": 0.06612998247146606, "learning_rate": 0.0001, "seconds": 3.193442786000105, "elapsed_training_seconds": 313.4511044330002}
{"update": 102, "examples_seen": 816, "supervised_tokens": 1613, "loss": 5.3621542861037597e-05, "gradient_norm": 0.014109003357589245, "learning_rate": 0.0001, "seconds": 2.8801869440001155, "elapsed_training_seconds": 316.332796465}
{"update": 103, "examples_seen": 824, "supervised_tokens": 1469, "loss": 9.90026819636114e-06, "gradient_norm": 0.00025656368234194815, "learning_rate": 0.0001, "seconds": 3.083535883999957, "elapsed_training_seconds": 319.4176448110002}
{"update": 104, "examples_seen": 832, "supervised_tokens": 1580, "loss": 0.0007475289608009916, "gradient_norm": 0.07897713780403137, "learning_rate": 0.0001, "seconds": 3.281922345000112, "elapsed_training_seconds": 322.7012066650002}
{"update": 105, "examples_seen": 840, "supervised_tokens": 1447, "loss": 9.935847401720821e-06, "gradient_norm": 0.00023231114028021693, "learning_rate": 0.0001, "seconds": 3.1316336760000922, "elapsed_training_seconds": 325.8348672490001}
{"update": 106, "examples_seen": 848, "supervised_tokens": 1357, "loss": 4.879465404883376e-05, "gradient_norm": 0.0035082607064396143, "learning_rate": 0.0001, "seconds": 3.193842186999973, "elapsed_training_seconds": 329.0302049910001}
{"update": 107, "examples_seen": 856, "supervised_tokens": 1466, "loss": 1.1291141731817333e-05, "gradient_norm": 0.00043587959953583777, "learning_rate": 0.0001, "seconds": 3.0932174449999366, "elapsed_training_seconds": 332.1256721720001}
{"update": 108, "examples_seen": 864, "supervised_tokens": 1367, "loss": 4.417444733917364e-05, "gradient_norm": 0.0035272303503006697, "learning_rate": 0.0001, "seconds": 3.0604799630000343, "elapsed_training_seconds": 335.18775862200005}
{"update": 109, "examples_seen": 872, "supervised_tokens": 1582, "loss": 1.6098787341434218e-05, "gradient_norm": 0.0007580828387290239, "learning_rate": 0.0001, "seconds": 3.237331966999818, "elapsed_training_seconds": 338.4268580130001}
{"update": 110, "examples_seen": 880, "supervised_tokens": 1480, "loss": 1.2655923342208553e-05, "gradient_norm": 0.001202859915792942, "learning_rate": 0.0001, "seconds": 3.1287941279999814, "elapsed_training_seconds": 341.5570355030002}
{"update": 111, "examples_seen": 888, "supervised_tokens": 1509, "loss": 1.0529266319281305e-05, "gradient_norm": 0.00020121205307077616, "learning_rate": 0.0001, "seconds": 3.105548740999893, "elapsed_training_seconds": 344.6643151960002}
{"update": 112, "examples_seen": 896, "supervised_tokens": 1626, "loss": 4.042149328142841e-05, "gradient_norm": 0.005476910620927811, "learning_rate": 0.0001, "seconds": 3.2338074520000646, "elapsed_training_seconds": 347.89958498400006}
{"update": 113, "examples_seen": 904, "supervised_tokens": 1469, "loss": 0.00017817244884099637, "gradient_norm": 0.02001253515481949, "learning_rate": 0.0001, "seconds": 3.0719927580000785, "elapsed_training_seconds": 350.972835002}
{"update": 114, "examples_seen": 912, "supervised_tokens": 1548, "loss": 8.506619337822485e-06, "gradient_norm": 0.0001480573700973764, "learning_rate": 0.0001, "seconds": 3.1379586689999996, "elapsed_training_seconds": 354.1122551960002}
